molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL553067,Cc1cccc2c1C(O)=C1C(=O)C3C(O)=C(C(=O)NCNC(CO)(CO)CO)C(=O)[C@@H](N(C)C)[C@@H]3C[C@@H]1C2(C)O.Cl,active,500.0
CHEMBL177126,O=C(/C=C/c1ccc(O)c(O)c1)O[C@H]1[C@H](O)C[C@](O)(C(=O)O)C[C@H]1OC(=O)/C=C/c1ccc(O)c(O)c1,active,790.0
CHEMBL177126,O=C(/C=C/c1ccc(O)c(O)c1)O[C@H]1[C@H](O)C[C@](O)(C(=O)O)C[C@H]1OC(=O)/C=C/c1ccc(O)c(O)c1,active,540.0
CHEMBL66953,O=c1c(O)cccc2cc(O)c(O)c(O)c12,intermediate,2100.0
CHEMBL19464,O=C(O)C(=O)CC(=O)c1cccc(Cc2ccccc2)c1,active,100.0
CHEMBL314866,O=C(/C=C(\O)c1cccc(Cc2ccccc2F)c1)C(=O)NCCNC(=O)C(=O)/C=C(\O)c1cccc(Cc2ccccc2F)c1,intermediate,5800.0
CHEMBL314866,O=C(/C=C(\O)c1cccc(Cc2ccccc2F)c1)C(=O)NCCNC(=O)C(=O)/C=C(\O)c1cccc(Cc2ccccc2F)c1,active,200.0
CHEMBL304266,CC1(C)CC2(CC(C)(C)c3cc(O)c(O)cc32)c2cc(O)c(O)cc21,inactive,17000.0
CHEMBL359212,O=C(O)C(=O)CC(=O)c1ccsc1Cc1ccccc1,active,180.0
CHEMBL68073,C[Si](C)(C)C,inactive,17000.0
CHEMBL68073,C[Si](C)(C)C,intermediate,5000.0
CHEMBL58,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,intermediate,3800.0
CHEMBL58,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,intermediate,8000.0
CHEMBL144613,CC(=O)Nc1cc(S(=O)(=O)O)cc2cc(S(=O)(=O)O)cc(O)c12,inactive,17000.0
CHEMBL85660,O=C(/C=C(\O)c1cccc(Cc2ccccc2F)c1)C(=O)NCCCNC(=O)C(=O)/C=C(\O)c1cccc(Cc2ccccc2F)c1,intermediate,5300.0
